"Reference","Qty","Value","Footprint","LCSC Part"
"C7,C8,C9,C10,C11,C12,C13,C14,C16,C21,C23,C25,C27","13","0.1uF","Capacitor_SMD:C_0402_1005Metric","C71629"
"C3","1","1uF","Capacitor_SMD:C_0402_1005Metric","C77006"
"C4,C22,C26","3","0.1uF","Capacitor_SMD:C_0603_1608Metric","C77058"
"FB1","1","FerriteBead","Inductor_SMD:L_0402_1005Metric","C88970"
"U2","1","TPD2EUSB30","Package_TO_SOT_SMD:Texas_DRT-3","C94934"
"J8","1","Conn_01x04_Pin","Connector_JST:JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal","C157919"
"C28","1","0.01uF","Capacitor_SMD:C_0603_1608Metric","C161232"
"C19,C24","2","2.2uF","Capacitor_SMD:C_0402_1005Metric","C170151"
"TH1","1","10K","Resistor_SMD:R_0402_1005Metric","C209959"
"SW1,SW2","2","SW_Push","Button_Switch_SMD:SW_SPST_PTS810","C221895"
"C5,C18,C20","3","4.7uF","Capacitor_SMD:C_1206_3216Metric","C237304"
"R15","1","1K","Resistor_SMD:R_0402_1005Metric","C242161"
"D1","1","LED","LED_SMD:LED_0402_1005Metric","C264407"
"R1,R2","2","5K1","Resistor_SMD:R_0402_1005Metric","C278598"
"C6,C15","2","4.7uF","Capacitor_SMD:C_0402_1005Metric","C318563"
"R7,R10,R19,R20","4","4K7","Resistor_SMD:R_0402_1005Metric","C400631"
"Y1","1","ECS-2520MV-250-BN-TR","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","C405463"
"R5,R6,R18","3","120R","Resistor_SMD:R_0402_1005Metric","C445577"
"R13,R17","2","3.3K","Resistor_SMD:R_0402_1005Metric","C445607"
"R14","1","18K","Resistor_SMD:R_0402_1005Metric","C482065"
"R3,R4","2","22R","Resistor_SMD:R_0402_1005Metric","C482106"
"R16","1","680R","Resistor_SMD:R_0402_1005Metric","C482224"
"J5,J6","2","Conn_01x03_MountingPin","Connector_JST:JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal","C514175"
"C17","1","1200uF","cap FOLDED:Rubycon 63ZLJ1200M18X20","C700866"
"R8,R9,R11,R12","4","100R","Resistor_SMD:R_0402_1005Metric","C844502"
"U3","1","STM32L552CEUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","C1236634"
"D2","1","SMLVN6RGB","LED_SMD:LED_ROHM_SMLVN6","C2909770"
"J7","1","Conn_01x02_Pin","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","C3000141"
"J4","1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","C3020560"
"D3","1","PESD2CANFD60VT‑QR","easyeda2kicad:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BL-1","C3711787"
"C1,C2","2","22uF","Capacitor_SMD:C_0402_1005Metric","C3845593"
"U1","1","TPSM365R6V3RDNR","easyeda2kicad:QFN-11_L4.5-W3.5-P0.50-TL_TPSM365R6FRDNR","C18208843"
"U5","1","ATECC608C-MAHDA","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","C23291019"
"U6","1","TCAN3414DRBR","easyeda2kicad:WSON-8_L3.0-W3.0-P0.65-TL-EP","C31542495"
"U4","1","DRV8263SQVAKRQ1","servo:RXZ0016A-MFG","C51893863"
